"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.72932699204183e-52,0.932771387561923,0.532,0.305,3.69168768943578e-48,"E11.5","Fanci"
2.73679185209375e-52,0.771400887625267,0.734,0.544,3.70178465914201e-48,"E11.5","B3gnt5"
3.04018762534577e-52,1.54003932529294,0.267,0.101,4.11215778204268e-48,"E11.5","Twnk"
3.23666030771144e-52,1.11260402249477,0.469,0.256,4.3779067322105e-48,"E11.5","Slc16a1"
3.39817467021542e-52,0.783709206421045,0.721,0.518,4.59637105893338e-48,"E11.5","Cnih1"
3.62531832847562e-52,1.63175371228434,0.264,0.101,4.90360557109612e-48,"E11.5","Elof1"
3.6519980233961e-52,0.807287339680578,0.997,0.966,4.93969252644557e-48,"E11.5","Hmga2"
4.41258807826072e-52,0.958405122410948,0.555,0.334,5.96846663465545e-48,"E11.5","Inava"
4.5099139250766e-52,1.41621832379678,0.252,0.09,6.10010957505861e-48,"E11.5","Efcc1"
5.39292172057185e-52,1.05000778360809,0.503,0.292,7.29446591924548e-48,"E11.5","Ndufs7"
5.56979645896557e-52,0.796465890894838,0.764,0.574,7.53370669039683e-48,"E11.5","Ppp1r8"
6.10473002586872e-52,0.890439441807021,0.573,0.357,8.25725783299003e-48,"E11.5","Abracl"
6.91643185409944e-52,1.09443212159171,0.494,0.279,9.3551657258549e-48,"E11.5","Smdt1"
7.28070178558683e-52,1.40234290132774,0.299,0.122,9.84787723518474e-48,"E11.5","Mrpl55"
7.66736751777036e-52,1.23088035287325,0.685,0.485,1.03708813045362e-47,"E11.5","Onecut1"
8.47746282001104e-52,0.984594071770164,0.458,0.247,1.14666162103469e-47,"E11.5","Fignl1"
8.57727393795633e-52,0.82890330153916,0.643,0.44,1.16016207284797e-47,"E11.5","Snhg5"
9.33417097626149e-52,0.821794289491595,0.743,0.557,1.26253996624913e-47,"E11.5","Trim27"
1.41258570865958e-51,1.11685607353837,0.427,0.219,1.91066342953294e-47,"E11.5","Shmt1"
1.41987312659969e-51,0.802845348096703,0.791,0.629,1.92052039103874e-47,"E11.5","Sf3a3"
1.71447112940112e-51,0.775029692873187,0.761,0.56,2.31899364962796e-47,"E11.5","Vars"
1.88693554277381e-51,1.01438401241796,0.473,0.256,2.55226901515586e-47,"E11.5","Lpl"
1.9366154907911e-51,1.03814960857743,0.495,0.282,2.61946611284404e-47,"E11.5","Gm10076"
2.27075182280473e-51,1.19667927868326,0.394,0.194,3.07141891552568e-47,"E11.5","Cdc6"
2.72945118559797e-51,1.0097196678233,0.54,0.332,3.69185567363981e-47,"E11.5","Ndufs6"
5.05198406964264e-51,0.996571596313873,0.489,0.273,6.83331365259864e-47,"E11.5","Ppdpf"
5.72258631285848e-51,1.00116343002367,0.459,0.246,7.74037024677237e-47,"E11.5","Nubp1"
6.80905475369092e-51,0.786078088877158,0.766,0.583,9.20992745984235e-47,"E11.5","Ndc1"
8.25351819425876e-51,1.44403770930522,0.267,0.103,1.11637087095544e-46,"E11.5","Utp23"
8.32802826332263e-51,1.40029690764482,0.326,0.145,1.12644910289702e-46,"E11.5","Tufm"
8.65262749165404e-51,1.3411106521209,0.269,0.104,1.17035439452113e-46,"E11.5","Polr2d"
9.05518580333977e-51,1.43778052227167,0.264,0.101,1.22480443175974e-46,"E11.5","Tfip11"
9.20824674183055e-51,0.834171407771812,0.68,0.495,1.2455074543e-46,"E11.5","Cdc42ep4"
1.13084162579527e-50,1.26702828044063,0.28,0.109,1.52957638305068e-46,"E11.5","2310009B15Rik"
1.25859669897736e-50,1.02275444731571,0.476,0.268,1.70237789503677e-46,"E11.5","E2f8"
1.5021283460611e-50,0.758472742262112,0.739,0.551,2.03177880088224e-46,"E11.5","Aars"
1.63354566134235e-50,0.85592560957736,0.707,0.494,2.20953386153167e-46,"E11.5","Net1"
1.66080332499779e-50,1.08648427465933,0.494,0.284,2.246402577392e-46,"E11.5","Chaf1b"
1.72224717537895e-50,0.837958837489547,0.698,0.51,2.32951152941757e-46,"E11.5","Psmc4"
2.16883927690973e-50,0.753960243792651,0.752,0.573,2.93357200594811e-46,"E11.5","Msantd3"
2.28945919803256e-50,0.758449185389596,0.84,0.688,3.09672251125884e-46,"E11.5","Sh3bp4"
2.62889088077873e-50,0.977024431694732,0.574,0.359,3.55583780534132e-46,"E11.5","Trip13"
2.68708553408283e-50,0.85160687059157,0.571,0.342,3.63455189340043e-46,"E11.5","Cdc25c"
3.14994328727471e-50,1.19204343313178,0.359,0.165,4.26061329036778e-46,"E11.5","Psrc1"
3.39210198711251e-50,0.940980239330572,0.557,0.337,4.58815714776838e-46,"E11.5","Hmgn5"
3.50217129391882e-50,0.778325466667198,0.743,0.567,4.73703689215459e-46,"E11.5","Puf60"
3.80674436105294e-50,1.04265117967265,0.497,0.286,5.1490024227602e-46,"E11.5","Lrrc47"
3.82705517271304e-50,1.17588386313991,0.382,0.187,5.17647482661166e-46,"E11.5","Pop4"
4.46892088330429e-50,0.771476107641969,0.718,0.507,6.04466238675738e-46,"E11.5","Zbtb18"
4.6611269952638e-50,0.796193673294668,0.709,0.524,6.30464037379381e-46,"E11.5","Ube2q1"
6.55872278628477e-50,1.0577080911511,0.466,0.258,8.87132844072878e-46,"E11.5","Uba52"
7.03513150267639e-50,0.849182272529292,0.578,0.365,9.51571887052008e-46,"E11.5","Krtcap2"
