"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ccnd3",3.19405189587117e-25,1.32387796645989,0.409,0.186,3.25473888189272e-21,"0","Ccnd3"
"Serpine2",3.56262477577594e-25,1.08652113151753,0.533,0.29,3.63031464651568e-21,"0","Serpine2"
"Nfix",4.19752963537514e-25,0.559678049276155,0.765,0.514,4.27728269844726e-21,"0","Nfix"
"Tspan9",5.19818807230603e-25,0.804476040348246,0.625,0.368,5.29695364567984e-21,"0","Tspan9"
"Tiam2",7.07412087836494e-25,0.707295984340479,0.652,0.396,7.20852917505388e-21,"0","Tiam2"
"Col16a1",7.57650729750568e-25,1.35150908543708,0.345,0.134,7.72046093615828e-21,"0","Col16a1"
"Cd44",7.66102139141155e-25,1.63461793143391,0.313,0.119,7.80658079784837e-21,"0","Cd44"
"Tle2",9.3296577827481e-25,1.75426825493749,0.299,0.111,9.50692128062031e-21,"0","Tle2"
"Samd4",1.04207492155126e-24,0.709635366608302,0.849,0.737,1.06187434506074e-20,"0","Samd4"
"Arhgap31",1.1243557113131e-24,0.855853125949952,0.64,0.386,1.14571846982805e-20,"0","Arhgap31"
"Lrrc17",1.48717952557776e-24,1.26662018785057,0.36,0.146,1.51543593656373e-20,"0","Lrrc17"
"Hpse2",1.58410674829484e-24,1.58266160503327,0.633,0.396,1.61420477651244e-20,"0","Hpse2"
"Rassf8",2.41416606621482e-24,1.07489296716044,0.512,0.283,2.4600352214729e-20,"0","Rassf8"
"Ptprm",2.46963975491077e-24,0.562984709547355,0.953,0.874,2.51656291025408e-20,"0","Ptprm"
"Mlec",2.87917865058843e-24,0.837163126568086,0.606,0.37,2.93388304494961e-20,"0","Mlec"
"Snx9",3.24549657897686e-24,1.01002819312832,0.537,0.302,3.30716101397742e-20,"0","Snx9"
"Rad51b",3.73769814002676e-24,0.778343677430521,0.766,0.546,3.80871440468726e-20,"0","Rad51b"
"St3gal4",7.09482760974526e-24,0.973624584575703,0.537,0.306,7.22962933433042e-20,"0","St3gal4"
"Etl4",1.08914790947771e-23,0.533559630959176,0.821,0.663,1.10984171975779e-19,"0","Etl4"
