"","Cavity","Muscle","Cartilage","Jaw and tooth","Liver","Brain","Spinal cord","Connective tissue","GI track","Heart","Dorsal root ganglia","Lung","Olfactory epithelium"
"Stat3(+)",-0.24721721086107,0.623035318537962,-0.340227158319274,0.290470094619782,-0.583258021502038,-1.11555562641384,0.232598987252925,-0.39080614846204,-0.940889101674044,2.84690924385453,0.304896824300261,0.00987831428646057,-0.689835515619611
"Stat5b(+)",2.71878356236246,-0.394905891794162,-0.512009261943242,0.0206192574628082,1.60313551235199,-0.512009261943242,-0.512009261943242,-0.512009261943242,-0.112782771674012,-0.432526180065538,-0.330267916984093,-0.512009261943242,-0.512009261943242
"Stat6(+)",-0.282075330216955,-0.653308044191987,-0.462121777522471,-0.240834223826761,-0.5187902710018,-0.563147568607597,-0.66107350544184,0.0281176760428367,0.100746970928664,2.74799972035809,-0.77936643146667,1.41806223682922,-0.134209451882727
"Taf6(+)",2.84916959419416,-0.476603028028627,-0.476603028028627,-0.476603028028627,-0.415224074268135,-0.476603028028627,-0.273260920704392,-0.476603028028627,-0.476603028028627,1.30207602045438,0.350063604552997,-0.476603028028627,-0.476603028028627
"Tal1(+)",-0.179390253268051,-0.727597643034275,-0.703047292160438,-0.446597699267354,2.94365395502922,-0.0370378155720287,0.351686323573272,0.866673922655474,-0.697518316959261,-0.0067449389593703,-0.200933954437915,-0.579118778497487,-0.584027509101783
"Tbp(+)",2.39461711849595,-0.297858478994136,-0.783634991792485,-0.738649402131816,-0.439162508851373,1.13362587283496,0.56943317220792,0.132278941450862,-0.760493065433633,0.988967101567351,-0.593458085341944,-0.802832837005829,-0.802832837005829
"Tbx15(+)",-0.036512286510639,2.07621477978233,-0.070960787608609,-0.00516848596061175,-0.335219375346157,-0.907930523094457,-0.916025502760021,-0.267106935647109,-0.265564886236759,2.22316504810522,-0.706460638119378,-0.313925829126178,-0.474504577477629
"Tbx2(+)",0.595060201900966,1.28371186615872,-0.617380894210183,1.34638632437057,-0.768905891006274,-1.03412546257716,-1.06294966332555,1.49537783303151,0.964118166459202,-0.760141602553382,-0.78314130942891,0.140188994458015,-0.798198563277522
"Tbx3(+)",0.15086786190076,-0.404357285512715,-0.58671723733276,-0.457099105760923,-0.495776756928541,-0.598707174260061,-0.638121919950526,-0.361001738540053,0.255130471024201,2.2737000107083,-0.543560483258937,2.04457663645261,-0.638933278541356
"Tbx5(+)",-0.216600027460739,-0.447639530509571,-0.500800166689863,-0.380952142664649,-0.347418527591072,-0.621299554175021,-0.616829784797653,0.0586568211878658,0.0493482010059707,3.10505106307738,-0.528274636456072,0.694281275697418,-0.247522990623994
