"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","nCount_SCT","nFeature_SCT","SCT_snn_res.0.9","seurat_clusters","RNA_snn_res.1","celltype","Size_Factor","Pseudotime","State"
"29x18_9","51_3",49092.4511073394,8041,0.444076691326802,28804,7433,"12","Spall 3","18","Spall 3",1.52970715196688,13.2193308354139,"11"
"29x15_9","51_3",49052.1889623835,7920,0.35399818629166,28724,7261,"12","Spall 3","18","Spall 3",1.52743909910673,13.1330722812173,"11"
"29x16_9","51_3",56218.6693292883,8133,0.355896163086808,28831,7128,"12","Spall 3","18","Spall 3",1.75263784767886,13.2614640609244,"11"
"46x17_9","51_3",31840.7464090244,6600,0.511898570504738,27874,6506,"7","Dpall 2","15","Dpall 2",0.990257079327667,15.2708206807742,"12"
"46x18_9","51_3",40997.1874057333,7240,0.380090267582897,29008,6940,"15","Dpall 2","15","Dpall 2",1.27634674704792,15.3642822401181,"12"
"46x16_9","51_3",15194.6917515702,5084,0.651573608719424,26944,5274,"5","Dpall 2","15","Dpall 2",0.470967476556431,15.2841634977829,"12"
"46x19_9","51_3",33095.9841066118,6800,0.394681441911384,28096,6646,"15","Dpall 2","15","Dpall 2",1.02985350217774,15.3098232260599,"12"
"38x9_9","51_3",46339.1583631022,7690,0.330448441195187,28729,7237,"20","Dpall 1","13","Dpall 1",1.44125309042113,15.1530993654436,"12"
"38x24_9","51_3",53784.5850306233,8163,0.376636265863736,28806,7333,"12","Spall 1","5","Spall 1",1.67502003868715,12.0721500105769,"11"
"38x22_9","51_3",64843.160708442,8682,0.401836162043666,28698,7213,"12","Spall 2","17","Spall 2",2.0205200910496,12.2122892917799,"11"
"38x21_9","51_3",38321.9446448238,7522,0.468696302312738,28821,7091,"12","Spall 1","5","Spall 1",1.190286741299,12.2381858373906,"11"
"38x10_9","51_3",47843.6332062967,7809,0.408359440975363,28591,7343,"20","Dpall 1","13","Dpall 1",1.4880001799275,11.7494782343823,"7"
"38x23_9","51_3",59005.5739365864,8527,0.346153395741006,28780,7373,"12","Spall 2","17","Spall 2",1.83831984461776,12.1498783911179,"11"
"38x25_9","51_3",42988.0433871926,7690,0.385396611716995,28782,7032,"21","Spall 1","5","Spall 1",1.33890720510699,9.7958266525916,"11"
"38x8_9","51_3",11756.9867951012,4731,0.389641772872357,26159,5402,"20","Dpall 2","15","Dpall 2",0.364431993597843,18.3879148634855,"5"
"40x9_9","51_3",18261.9281274249,5536,0.455660506444917,27675,5547,"20","Dpall 2","15","Dpall 2",0.566540704024306,15.1854025195792,"12"
"40x17_9","51_3",75785.8343091466,8794,0.248640690188055,28139,6622,"20","Spall 2","17","Spall 2",2.36431910376694,11.2654534581033,"7"
"40x10_9","51_3",53512.2122128273,7885,0.332878992984714,28433,7147,"20","Dpall 1","13","Dpall 1",1.6685308874484,15.085147101532,"12"
"40x11_9","51_3",55099.8098594548,8077,0.273368399314356,28553,7213,"20","Dpall 1","13","Dpall 1",1.71653800632152,14.9457800337743,"12"
"40x18_9","51_3",79965.1705548434,8894,0.364174421794709,27925,6470,"12","Spall 2","17","Spall 2",2.49526765570628,12.3381156443105,"11"
"40x16_9","51_3",68000.4786140007,8436,0.304881650516574,28465,6751,"20","Dpall 1","13","Dpall 1",2.12107043451613,11.781863286866,"7"
"40x20_9","51_3",67529.0075005768,8487,0.401261274277396,28385,6745,"12","Spall 2","17","Spall 2",2.10576107771014,12.1539301461414,"11"
"40x19_9","51_3",72812.7299000929,8741,0.368261083120715,28225,6700,"12","Spall 2","17","Spall 2",2.26950189391911,12.3495347121396,"11"
"43x13_9","51_3",68651.1683651644,8426,0.30900892779236,28373,6715,"20","Dpall 1","13","Dpall 1",2.14302644623173,14.9393582730147,"12"
"43x12_9","51_3",62036.2520914132,8127,0.387223220881419,28415,6839,"20","Dpall 1","13","Dpall 1",1.93565711319909,14.9889331611609,"12"
"43x17_9","51_3",41527.5978086948,7444,0.378597830566149,29124,7127,"20","Spall 2","17","Spall 2",1.29335714349903,12.117836803551,"11"
"43x21_9","51_3",47563.5409434832,7426,0.313298613648464,28490,6729,"10","Spall 1","21","Spall 1",1.4817630345621,14.6699018942215,"12"
"43x11_9","51_3",21672.61699694,5806,0.450811755881595,26727,5805,"20","Dpall 2","15","Dpall 2",0.673044686248726,15.0228887378707,"12"
"43x18_9","51_3",67414.3640218108,8499,0.352377878782293,28509,6876,"20","Spall 2","17","Spall 2",2.10330402044498,12.0913734105605,"11"
"43x20_9","51_3",74516.758566598,8596,0.28424359234571,28080,6484,"20","Spall 2","17","Spall 2",2.32560470147359,11.9623589858509,"11"
"43x19_9","51_3",83451.9791307637,8875,0.26965297001507,27890,6312,"20","Spall 2","17","Spall 2",2.60759927375191,11.2839616302267,"7"
"32x9_9","51_3",69058.9061865703,8716,0.269926999683025,28363,6961,"20","Dpall 1","13","Dpall 1",2.1528231745582,15.0065369947355,"12"
"32x13_9","51_3",12664.4580070846,5274,0.626716207420683,26372,5667,"4","Dpall 2","15","Dpall 2",0.390294096350356,18.7137868332972,"5"
"32x12_9","51_3",28922.5841073925,6930,0.689770809226079,27596,6746,"7","Dpall 2","15","Dpall 2",0.896951904719939,15.4485611029058,"12"
"32x17_9","51_3",75670.0358614628,8821,0.283307800674667,28216,6621,"12","Spall 3","18","Spall 3",2.36409859862776,13.166036644586,"11"
"32x10_9","51_3",63141.1237740488,8462,0.245822728569582,28619,7177,"20","Dpall 1","13","Dpall 1",1.96744135397532,15.1126974895387,"12"
"32x11_9","51_3",61536.6111958852,8342,0.350499578750064,28593,7101,"20","Dpall 1","13","Dpall 1",1.91807970353295,15.2732643404602,"12"
"32x18_9","51_3",61525.3413052329,8502,0.364998212420086,28666,7223,"12","Spall 3","18","Spall 3",1.91870971821632,13.1318015542072,"11"
"32x16_9","51_3",68771.9118810007,8558,0.388447575552677,28502,6799,"12","Spall 3","18","Spall 3",2.14639702478778,13.0484976718722,"11"
"32x29_9","51_3",21062.4850104606,6514,0.445362822778283,26810,6427,"21","Spall 1","5","Spall 1",0.652947217849087,19.0758727459999,"5"
"32x8_9","51_3",46146.3199286257,7811,0.314567903782433,28484,7309,"20","Dpall 2","15","Dpall 2",1.43381891715732,15.3879674969655,"12"
"39x9_9","51_3",40368.1144646774,7485,0.376188790239506,29059,7237,"20","Dpall 2","15","Dpall 2",1.25410722872481,15.2995718236783,"12"
